ID_Folder;Nome_Sito;Indirizzo;Sistema;Sottocategoria;Attivita;Frequenza;Quantita;Stato_Documentale;Note;Data_Ultimo_Intervento
9;Via Calvairate 1;Via Calvairate 1;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;106;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
10;Via Polesine 6;Via Polesine 6;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;82;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
11b;Via Adriano 99;Via Adriano 99;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;575;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
12;POT Bollate;Via (Bollate);30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;1.831;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Legnano;TBD;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;4.855;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
15;Via Clericetti 22;Via Clericetti 22;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;564;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
16;Via Don Bosco 14;Via Don Bosco 14;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;311;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
17;Via Fantoli 7;Via Fantoli 7;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;1.154;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
18;Via Palombino 4;Via Monte Palombino 4;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;109;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
19;Via Quarenghi 21;Via Quarenghi 21;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;641;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
20;Via Aldini 72;Via Aldini 72;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;5.508;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
21;Via Perini 22;Via Perini 22;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;184;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
22;Via Cilea 146A;Via Francesco Cilea 146A;30.1;C2 - C6;Distribuzione elettrica, quadri, ecc.;m2 superficie lorda;405;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
