"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5958";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"4088 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4088";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"523 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"523";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4650";"REALE"
"07";"Elettrico";"V.le Jenner 44";"295 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"295";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"6 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"6";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"82";"REALE"
"11b";"Elettrico";"Via Adriano 99 e  7";"575 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"575";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"1831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"564";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"311";"REALE"
"17";"Elettrico";"via Fantoli 7 
Poliamb.";"1154 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"1154";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"9 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"9";"REALE"
"19";"Elettrico";"via Quarenghi 21";"641 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"641";"REALE"
"20";"Elettrico";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5508";"REALE"
"21";"Elettrico";"via Perini 22";"184 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"184";"REALE"
"22";"Elettrico";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"405";"REALE"
"23";"Elettrico";"via R. Sanzio 9";"303 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"303";"REALE"
"24";"Elettrico";"via Statuto 5";"638 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"638";"REALE"
"26";"Elettrico";"via Padova 118";"275 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"275";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"677 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"677";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"276 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"276";"REALE"
"29";"Elettrico";"via Serlio 8";"437 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"437";"REALE"
"17";"Elettrico";"via Fantoli 7
Consultorio";"601 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"601";"REALE"
"31";"Elettrico";"viale Puglie 33";"370 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"370";"REALE"
"32";"Elettrico";"via Natta 19";"395 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"395";"REALE"
"33";"Elettrico";"via Oglio 18";"98 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"98";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"1 n.ro rifasatori x Rifasatori";"Periodica";"Normativa vigente";"40.1";"C4.02";"1";"REALE"
"01";"Elettrico";"Via A. Doria 52";"43 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"43";"REALE"
"02";"Elettrico";"Via Don Orione 2";"23 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"23";"REALE"
"03";"Elettrico";"Via Farini 9";"32 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"32";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"22 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"22";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"8 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"8";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"34 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"34";"REALE"
"09";"Elettrico";"Via Calvairate 1";"2 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"2";"REALE"
"10";"Elettrico";"Via Polesine 6";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"12";"Elettrico";"POT Bollate";"5 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"5";"REALE"
"15";"Elettrico";"via Clericetti 22";"9 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"9";"REALE"
"16";"Elettrico";"via Don Bosco 14";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"17";"Elettrico";"via Fantoli 7 
Poliamb.";"11 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"11";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"3 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"3";"REALE"
"19";"Elettrico";"via Quarenghi 21";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"01";"Elettrico";"Via A. Doria 52";"4075 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"4075";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2967 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"2967";"REALE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5958";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"4088 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"4088";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"523 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"523";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"4650";"REALE"
"07";"Elettrico";"V.le Jenner 44";"295 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"295";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"6 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"6";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"82";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"564";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"311";"REALE"
"17";"Elettrico";"via Fantoli 7 
Poliamb.";"1154 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1154";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"9 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"9";"REALE"
"19";"Elettrico";"via Quarenghi 21";"641 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"641";"REALE"
"20";"Elettrico";"via Aldini 72";"5508 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5508";"REALE"
"21";"Elettrico";"via Perini 22";"184 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"184";"REALE"
"22";"Elettrico";"via Cilea 146A";"405 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"405";"REALE"
"23";"Elettrico";"via R. Sanzio 9";"303 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"303";"REALE"
"24";"Elettrico";"via Statuto 5";"638 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"638";"REALE"
"26";"Elettrico";"via Padova 118";"275 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"275";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"677 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"677";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"276 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"276";"REALE"
"29";"Elettrico";"via Serlio 8";"437 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"437";"REALE"
"17";"Elettrico";"via Fantoli 7
Consultorio";"601 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"601";"REALE"
"31";"Elettrico";"viale Puglie 33";"370 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"370";"REALE"
"32";"Elettrico";"via Natta 19";"395 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"395";"REALE"
"33";"Elettrico";"via Oglio 18";"98 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"98";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"01";"Idrico";"Via A. Doria 52";"4075 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4075";"REALE"
"02";"Idrico";"Via Don Orione 2";"2967 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"2967";"REALE"
"03";"Idrico";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5958";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"4088 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4088";"REALE"
"05";"Idrico";"Via A. Sassi 4";"523 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"523";"REALE"
"06";"Idrico";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4650";"REALE"
"07";"Idrico";"V.le Jenner 44";"295 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"295";"REALE"
"08";"Idrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"446";"REALE"
"09";"Idrico";"Via Calvairate 1";"6 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"6";"REALE"
"10";"Idrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"82";"REALE"
"12";"Idrico";"POT Bollate";"1831 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1831";"REALE"
"14";"Idrico";"viale Piceno 60";"95 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"95";"REALE"
"15";"Idrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"564";"REALE"
"16";"Idrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"311";"REALE"
"17";"Idrico";"via Fantoli 7 
Poliamb.";"1154 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1154";"REALE"
"18";"Idrico";"via Monte Palombino 4";"9 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"9";"REALE"
"19";"Idrico";"via Quarenghi 21";"590 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"590";"REALE"
