"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"LAST_DATE";"NEXT_DUE";"NOTE"
"07";"Elettrico";"V.le Jenner 44";"295 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"09";"Elettrico";"Via Calvairate 1";"6 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"11b";"Elettrico";"Via Adriano 99 e  7";"575 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Elettrico";"via Fantoli 7 
Poliamb.";"1154 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"9 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"19";"Elettrico";"via Quarenghi 21";"641 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"20";"Elettrico";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"21";"Elettrico";"via Perini 22";"184 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"22";"Elettrico";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"23";"Elettrico";"via R. Sanzio 9";"303 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"24";"Elettrico";"via Statuto 5";"638 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"26";"Elettrico";"via Padova 118";"275 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"677 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"276 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"29";"Elettrico";"via Serlio 8";"437 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Elettrico";"via Fantoli 7
Consultorio";"601 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"31";"Elettrico";"viale Puglie 33";"370 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"32";"Elettrico";"via Natta 19";"395 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"33";"Elettrico";"via Oglio 18";"98 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"1 n.ro rifasatori x Rifasatori";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"Elettrico";"Via A. Doria 52";"43 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"02";"Elettrico";"Via Don Orione 2";"23 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
