"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"04";"Elettrico";"Via Rugabella 4_6";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"04";"Antincendio";"Via Rugabella 4_6";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-01-21"
"04";"Antincendio";"Via Rugabella 4_6";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-01-21"
"04";"Idrico";"Via Rugabella 4_6";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"04";"Idrico";"Via Rugabella 4_6";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"04";"Elevatori";"Via Rugabella 4_6";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"04";"Sedi";"Via Rugabella 4_6";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"05";"HVAC";"Via Sassi 4";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"05";"HVAC";"Via Sassi 4";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"05";"Elettrico";"Via Sassi 4";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"05";"Antincendio";"Via Sassi 4";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-01-26"
"05";"Antincendio";"Via Sassi 4";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-01-26"
"05";"Idrico";"Via Sassi 4";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"05";"Idrico";"Via Sassi 4";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"05";"Elevatori";"Via Sassi 4";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"05";"Sedi";"Via Sassi 4";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"06";"HVAC";"Principessa Jolanda";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"06";"HVAC";"Principessa Jolanda";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"06";"Elettrico";"Principessa Jolanda";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"06";"Antincendio";"Principessa Jolanda";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"06";"Antincendio";"Principessa Jolanda";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"06";"Idrico";"Principessa Jolanda";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"06";"Idrico";"Principessa Jolanda";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"06";"Elevatori";"Principessa Jolanda";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"06";"Sedi";"Principessa Jolanda";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"07";"HVAC";"Viale Jenner 44";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"07";"HVAC";"Viale Jenner 44";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"07";"Elettrico";"Viale Jenner 44";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"07";"Antincendio";"Viale Jenner 44";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"07";"Antincendio";"Viale Jenner 44";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
