"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"02";"Antincendio";"Via Don Orione 2";"2,967 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"2,967";"REALE"
"03";"Antincendio";"Via Farini 9";"5,958 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"5,958";"REALE"
"08";"Antincendio";"Via Livigno 3";"446 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"446";"REALE"
"12";"Antincendio";"POT Bollate";"1,831 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"1,831";"REALE"
"15";"Antincendio";"via Clericetti 22";"564 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"564";"REALE"
"16";"Antincendio";"via Don Bosco 14";"311 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"311";"REALE"
"17";"Antincendio";"via Fantoli 7";"1,154 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"1,154";"REALE"
"02";"Antincendio";"Via Don Orione 2";"2,882 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"2,882";"REALE"
"03";"Antincendio";"Via Farini 9";"5,580 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"5,580";"REALE"
"08";"Antincendio";"Via Livigno 3";"446 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"446";"REALE"
