"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"03";"HVAC";"Via Farini 9";"11 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"11";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"5 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"5";"REALE"
"05";"HVAC";"Via A. Sassi 4";"6 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"6";"REALE"
"09";"HVAC";"Via Calvairate 1";"4 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"4";"REALE"
"10";"HVAC";"Via Polesine 6";"2 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"2";"REALE"
"12";"HVAC";"POT Bollate";"26 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"26";"REALE"
"01";"HVAC";"Via A. Doria 52";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"3 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"3";"REALE"
"06";"HVAC";"Via Sassi 4 P.ssa Jolanda";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"2";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.  - B.15";"1";"REALE"
"03";"HVAC";"Via Farini 9";"3  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"3";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"715  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"715";"REALE"
"05";"HVAC";"Via A. Sassi 4";"2  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"2";"REALE"
"06";"HVAC";"Via Sassi 4 P.ssa Jolanda";"412  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"412";"REALE"
"08";"HVAC";"Via Livigno 3";"3  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"3";"REALE"
"09";"HVAC";"Via Calvairate 1";"312  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"312";"REALE"
"11b";"HVAC";"Via Adriano 99 e  7";"4  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"4";"REALE"
"12";"HVAC";"POT Bollate";"650  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"650";"REALE"
"14";"HVAC";"viale Piceno 60";"446  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"446";"REALE"
