"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"17";"HVAC";"via Fantoli 7";"24.00  ripresa x Canali di distribuzione";"Periodica";"Normativa vigente";"2.1";"B.01 - B.08.04/ 05/06 - B.09 - B.  - B.11";"24.00";"REALE"
"26";"Elettrico";"via Padova 118";"4  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"075.00  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"075.00";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"2  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"2";"REALE"
"29";"Elettrico";"via Serlio 8";"967.00  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"967.00";"REALE"
"17";"Elettrico";"via Fantoli 7";"5  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"5";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"1.00 n.ro rifasatori x Rifasatori";"Periodica";"Normativa vigente";"40.1";"C4.02";"1.00";"REALE"
"24";"Elettrico";"via Statuto 5";"43.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"43.00";"REALE"
"26";"Elettrico";"via Padova 118";"32.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"32.00";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"22.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"22.00";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"8.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"8.00";"REALE"
"29";"Elettrico";"via Serlio 8";"34.00 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"34.00";"REALE"
"24";"Elettrico";"via Statuto 5";"4 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"4";"REALE"
"26";"Elettrico";"via Padova 118";"2 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"2";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"967.00 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"967.00";"REALE"
"28";"Elettrico";"C.so Plebisciti 4";"5 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5";"REALE"
"29";"Elettrico";"via Serlio 8";"958.00 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"958.00";"REALE"
"17";"Elettrico";"via Fantoli 7";"4 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"4";"REALE"
"24";"Idrico";"via Statuto 5";"1.00 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1.00";"REALE"
"26";"Idrico";"via Padova 118";"1.00 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1.00";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"1.00 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1.00";"REALE"
"24";"Idrico";"via Statuto 5";"1.00 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1.00";"REALE"
"24";"Idrico";"via Statuto 5";"4 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4";"REALE"
"26";"Idrico";"via Padova 118";"2 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"2";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"967.00 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"967.00";"REALE"
"28";"Idrico";"C.so Plebisciti 4";"5 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5";"REALE"
"29";"Idrico";"via Serlio 8";"958.00 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"958.00";"REALE"
"17";"Idrico";"via Fantoli 7";"4 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"4";"REALE"
"24";"Idrico";"via Statuto 5";"1.00 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1.00";"REALE"
"26";"Idrico";"via Padova 118";"1.00 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1.00";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"1.00 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1.00";"REALE"
"24";"Idrico";"via Statuto 5";"3.00 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3.00";"REALE"
"26";"Idrico";"via Padova 118";"3.00 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3.00";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"3.00 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3.00";"REALE"
"28";"Idrico";"C.so Plebisciti 4";"3.00 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3.00";"REALE"
"17";"Idrico";"via Fantoli 7";"3.00 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3.00";"REALE"
"26";"Antincendio";"via Padova 118";"075.00  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"075.00";"REALE"
"27";"Antincendio";"L.go Volontari del Sangue 1";"2  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"2";"REALE"
"28";"Antincendio";"C.so Plebisciti 4";"967.00  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"967.00";"REALE"
"29";"Antincendio";"via Serlio 8";"5  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"5";"REALE"
"17";"Antincendio";"via Fantoli 7";"958.00  serrande tagliafuoco x compartimentazioni";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"958.00";"REALE"
"24";"Antincendio";"via Statuto 5";"4 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"4";"REALE"
"26";"Antincendio";"via Padova 118";"2 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"2";"REALE"
"27";"Antincendio";"L.go Volontari del Sangue 1";"882.00 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"882.00";"REALE"
"28";"Antincendio";"C.so Plebisciti 4";"5 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"5";"REALE"
"29";"Antincendio";"via Serlio 8";"580.00 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"580.00";"REALE"
"17";"Antincendio";"via Fantoli 7";"4 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"4";"REALE"
"26";"Antincendio";"via Padova 118";"1 3  segnaletica antincendio e vie di esodo x illuminazione di emergenza";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"1 3";"REALE"
"27";"Antincendio";"L.go Volontari del Sangue 1";"99.00  segnaletica antincendio e vie di esodo x illuminazione di emergenza";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"99.00";"REALE"
"28";"Antincendio";"C.so Plebisciti 4";"1  segnaletica antincendio e vie di esodo x illuminazione di emergenza";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"1";"REALE"
"29";"Antincendio";"via Serlio 8";"470.00  segnaletica antincendio e vie di esodo x illuminazione di emergenza";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"470.00";"REALE"
"17";"Antincendio";"via Fantoli 7";"158.00  segnaletica antincendio e vie di esodo x illuminazione di emergenza";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"158.00";"REALE"
"24";"Antincendio";"via Statuto 5";"49.00 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"49.00";"REALE"
"26";"Antincendio";"via Padova 118";"43.00 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"43.00";"REALE"
"27";"Antincendio";"L.go Volontari del Sangue 1";"67.00 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"67.00";"REALE"
"28";"Antincendio";"C.so Plebisciti 4";"5.00 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"5.00";"REALE"
"29";"Antincendio";"via Serlio 8";"31.00 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"31.00";"REALE"
"27";"Antincendio";"L.go Volontari del Sangue 1";"1.00 n.ro centrali x Centrale di pressurizzazione";"Periodica";"Normativa vigente";"66.1";"E3.01 - E3.08";"1.00";"REALE"
"29";"Antincendio";"via Serlio 8";"1.00 n.ro centrali x Centrale di pressurizzazione";"Periodica";"Normativa vigente";"66.1";"E3.01 - E3.08";"1.00";"REALE"
"24";"Antincendio";"via Statuto 5";"19.00 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"19.00";"REALE"
"26";"Antincendio";"via Padova 118";"12.00 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"12.00";"REALE"
"27";"Antincendio";"L.go Volontari del Sangue 1";"16.00 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"16.00";"REALE"
"28";"Antincendio";"C.so Plebisciti 4";"0.00 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"0.00";"REALE"
"29";"Antincendio";"via Serlio 8";"21.00 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"Normativa vigente";"67.1";"E3.02 - E3.08";"21.00";"REALE"
"24";"Elevatori";"via Statuto 5";"1.00 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"Normativa vigente";"72.1";"F1.01";"1.00";"REALE"
"26";"Elevatori";"via Padova 118";"3.00 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"Normativa vigente";"72.1";"F1.01";"3.00";"REALE"
"28";"Elevatori";"C.so Plebisciti 4";"2.00 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"Normativa vigente";"72.1";"F1.01";"2.00";"REALE"
"24";"Elevatori";"via Statuto 5";"3.00 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"Normativa vigente";"72.2";"F1.01";"3.00";"REALE"
"26";"Elevatori";"via Padova 118";"1.00 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"Normativa vigente";"72.2";"F1.01";"1.00";"REALE"
"27";"Elevatori";"L.go Volontari del Sangue 1";"2.00 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"Normativa vigente";"72.2";"F1.01";"2.00";"REALE"
"29";"Elevatori";"via Serlio 8";"3.00 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"Normativa vigente";"72.2";"F1.01";"3.00";"REALE"
"24";"Edile";"via Statuto 5";"1.00 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"Normativa vigente";"76.1";"G1";"1.00";"REALE"
"27";"Edile";"L.go Volontari del Sangue 1";"2.00 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"Normativa vigente";"76.1";"G1";"2.00";"REALE"
"29";"Edile";"via Serlio 8";"2.00 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"Normativa vigente";"76.1";"G1";"2.00";"REALE"
"24";"Edile";"via Statuto 5";"1.00 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1.00";"REALE"
"26";"Edile";"via Padova 118";"1.00 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1.00";"REALE"
"27";"Edile";"L.go Volontari del Sangue 1";"1.00 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1.00";"REALE"
"28";"Edile";"C.so Plebisciti 4";"1.00 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1.00";"REALE"
"29";"Edile";"via Serlio 8";"1.00 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1.00";"REALE"
"17";"Edile";"via Fantoli 7";"1.00 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"Normativa vigente";"80.1";"G2.01.01";"1.00";"REALE"
