"Sito";"Sistema";"Attivita";"Frequenza";"Stato_Attuale";"Azione_Richiesta"
"via R. Sanzio 9";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Statuto 5";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Padova 118";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"L.go Volontari del Sangue 1";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"C.so Plebisciti 4";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Serlio 8";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7
Consultorio";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"viale Puglie 33";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Natta 19";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Oglio 18";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Antincendio";"446 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Antincendio";"1154 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Antincendio";"9 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Antincendio";"5508 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Antincendio";"184 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Antincendio";"405 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Antincendio";"303 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Antincendio";"446 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Antincendio";"1154 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Antincendio";"9 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Antincendio";"5508 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Antincendio";"184 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Antincendio";"405 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Antincendio";"303 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Antincendio";"446 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Antincendio";"1154 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Antincendio";"9 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Antincendio";"5508 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Antincendio";"184 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Antincendio";"405 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Antincendio";"303 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Antincendio";"5 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Adriano 99 e  7";"Antincendio";"6 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Antincendio";"8 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Antincendio";"2 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Antincendio";"4 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Antincendio";"6 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Antincendio";"1 n.ro estintori x Estintori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Antincendio";"2 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Antincendio";"1 n.ro idranti o naspi x Rete idrica e terminali";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Elevatori";"1 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Elevatori";"2 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Elevatori";"3 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Sassi 4";"Elevatori";"2 n.ro elevatori x Elevatori 1-5 piani (fino a 6 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Elevatori";"3 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Elevatori";"1 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Elevatori";"2 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Elevatori";"3 n.ro elevatori x Elevatori 6-  piani (fino a 11 fermate)";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Elevatori";"1 n.ro servoscala x Servoscala";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Edile";"1 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Edile";"1 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Edile";"2 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Edile";"2 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Edile";"1 n.ro impianti sollevamento acque chiare e nere x Pompe di sollevamento acque nere e chiare";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Edile";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Edile";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Edile";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Sassi 4";"Edile";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Edile";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"V.le Jenner 44";"Edile";"1 n.ro cancelli e sbarre motorizzate x Cancelli e sbarre motorizzati";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
