"Sito";"Sistema";"Attivita";"Frequenza";"Stato_Attuale";"Azione_Richiesta"
"Via Polesine 6";"Elettrico";"82 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Adriano 99 e  7";"Elettrico";"575 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"POT Bollate";"Elettrico";"1831 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"Elettrico";"564 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Don Bosco 14";"Elettrico";"311 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Elettrico";"1154 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Elettrico";"9 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Quarenghi 21";"Elettrico";"641 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Elettrico";"5508 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Elettrico";"184 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Elettrico";"405 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Elettrico";"303 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Statuto 5";"Elettrico";"638 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Padova 118";"Elettrico";"275 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"L.go Volontari del Sangue 1";"Elettrico";"677 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"C.so Plebisciti 4";"Elettrico";"276 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Serlio 8";"Elettrico";"437 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7
Consultorio";"Elettrico";"601 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"viale Puglie 33";"Elettrico";"370 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Natta 19";"Elettrico";"395 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Oglio 18";"Elettrico";"98 m2 superficie lorda x Distribuzione elettrica, quadri, ecc.";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Elettrico";"1 n.ro rifasatori x Rifasatori";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Elettrico";"43 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Elettrico";"23 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Elettrico";"32 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Elettrico";"22 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Sassi 4";"Elettrico";"8 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Elettrico";"34 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Calvairate 1";"Elettrico";"2 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Polesine 6";"Elettrico";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"POT Bollate";"Elettrico";"5 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"Elettrico";"9 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Don Bosco 14";"Elettrico";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Elettrico";"11 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
